Island,Library Location,library staff desktop pcs,public desktop pc,public laptops,Line Type,Road Runner Line,Installation Date line,Installation Date active
Oahu,Aiea,8,8,,DSL 11M,25M,07/26/2010 12:00:00 AM,07/26/2010 12:00:00 AM
Oahu,Aina Haina,8,10,,DSL 11M x 2,n/a,08/24/2010 12:00:00 AM,08/24/2010 12:00:00 AM
Oahu,Ewa Beach,9,6,,DSL 11M,25M,07/19/2010 12:00:00 AM,07/27/2010 12:00:00 AM
Oahu,Hawaii Kai,7,9,,DSL 7M,25M,08/09/2010 12:00:00 AM,08/09/2010 12:00:00 AM
Oahu,Hawaii State Library,66,55,,DSL 11M x 4,25M,06/28/2010 12:00:00 AM,06/28/2010 12:00:00 AM
Oahu,Kahuku,7,8,,EoC 1.5M,25M,08/10/2010 12:00:00 AM,08/10/2010 12:00:00 AM
Oahu,Kailua,12,12,,DSL 11M,25M,08/26/2010 12:00:00 AM,08/26/2010 12:00:00 AM
Oahu,Kaimuki,15,13,,DSL 11M,25M,08/13/2010 12:00:00 AM,08/13/2010 12:00:00 AM
Oahu,Kalihi-Palama,7,13,,DSL 11M x 2,n/a,07/26/2010 12:00:00 AM,07/26/2010 12:00:00 AM
Oahu,Kaneohe,14,18,,DSL 11M,25M,08/18/2010 12:00:00 AM,08/18/2010 12:00:00 AM
Oahu,Kapolei,24,40,,DSL 3M,25M,08/04/2010 12:00:00 AM,08/04/2010 12:00:00 AM
Oahu,LBPH,17,2,,DSL 3M,n/a,08/17/2010 12:00:00 AM,08/17/2010 12:00:00 AM
Oahu,Liliha,7,13,,DSL 11M,25M,07/20/2010 12:00:00 AM,07/20/2010 12:00:00 AM
Oahu,Manoa-Noelani (temporary),13,3,,DSL 11M x 2,25M,08/31/2010 12:00:00 AM,08/31/2010 12:00:00 AM
Oahu,McCully-Moiliili,10,12,,DSL 11M,25M,08/12/2010 12:00:00 AM,08/12/2010 12:00:00 AM
Oahu,Mililani,8,10,,DSL 7M x 2,25M,08/02/2010 12:00:00 AM,08/02/2010 12:00:00 AM
Oahu,Pearl City,10,17,,EoC 10M,n/a,07/16/2010 12:00:00 AM,07/16/2010 12:00:00 AM
Oahu,Salt Lake (DS3),9,10,,EoF 250M,25M,06/04/2010 12:00:00 AM,06/04/2010 12:00:00 AM
Oahu,Wahiawa,5,9,,DSL 11M,25M,08/02/2010 12:00:00 AM,08/02/2010 12:00:00 AM
Oahu,Waialua,6,4,1,EoC 3M,n/a,08/10/2010 12:00:00 AM,08/10/2010 12:00:00 AM
Oahu,Waianae,5,10,,DSL 11M,25M,08/04/2010 12:00:00 AM,08/04/2010 12:00:00 AM
Oahu,Waikiki-Kapahulu,8,9,,DSL 7M,25M,07/02/2010 12:00:00 AM,07/02/2010 12:00:00 AM
Oahu,Waimanalo,5,8,,DSL 3M,25M,08/11/2010 12:00:00 AM,08/11/2010 12:00:00 AM
Oahu,Waipahu,7,11,,DSL 11M,25M,07/27/2010 12:00:00 AM,07/27/2010 12:00:00 AM
Kauai,Hanapepe,5,6,,EoC 3M,n/a,09/16/2010 12:00:00 AM,09/16/2010 12:00:00 AM
Kauai,Kapaa,5,8,2,DSL 11M,n/a,09/21/2010 12:00:00 AM,09/21/2010 12:00:00 AM
Kauai,Koloa,4,10,,EoC 1.5M,25M,07/21/2010 12:00:00 AM,09/22/2010 12:00:00 AM
Kauai,Lihue,10,11,,DSL 11M x 2,n/a,09/29/2010 12:00:00 AM,09/29/2010 12:00:00 AM
Kauai,Princeville,5,6,,DSL 11M,25M,07/13/2010 12:00:00 AM,07/19/2010 12:00:00 AM
Kauai,Waimea,3,7,1,EoC 1.5M,25M,10/01/2010 12:00:00 AM,10/01/2010 12:00:00 AM
Maui,Hana,4,5,1,PL T1 x 2,n/a,07/12/2010 12:00:00 AM,07/12/2010 12:00:00 AM
Maui,Kahului,12,8,1,DSL 11M x 2,n/a,10/05/2010 12:00:00 AM,10/05/2010 12:00:00 AM
Maui,Kihei,8,10,,DSL 11M x 2,n/a,08/31/2010 12:00:00 AM,08/31/2010 12:00:00 AM
Maui,Lahaina,4,6,,DSL 11M x 2,n/a,09/21/2010 12:00:00 AM,09/21/2010 12:00:00 AM
Maui,Lanai,4,5,,PL T1 x 2,n/a,09/09/2010 12:00:00 AM,09/09/2010 12:00:00 AM
Maui,Makawao,7,7,5,DSL 11M x 2,n/a,07/19/2010 12:00:00 AM,07/19/2010 12:00:00 AM
Maui,Molokai,4,7,,DSL 11M x 2,n/a,09/15/2010 12:00:00 AM,09/15/2010 12:00:00 AM
Maui,Wailuku,9,11,2,DSL 11M,25M,09/02/2010 12:00:00 AM,09/02/2010 12:00:00 AM
Hawaii,Hilo,17,32,,DSL 11M x 2,n/a,09/03/2010 12:00:00 AM,09/03/2010 12:00:00 AM
Hawaii,Honokaa,3,5,,DSL 11M,25M,09/23/2010 12:00:00 AM,09/23/2010 12:00:00 AM
Hawaii,Kailua-Kona,10,10,,DSL 3M,25M,09/10/2010 12:00:00 AM,09/10/2010 12:00:00 AM
Hawaii,Keaau,4,7,,DSL 11M x 2,n/a,09/23/2010 12:00:00 AM,09/23/2010 12:00:00 AM
Hawaii,Kealakekua,3,7,,EoC 3M,n/a,09/08/2010 12:00:00 AM,09/08/2010 12:00:00 AM
Hawaii,Laupahoehoe,4,6,,DSL 11M x 2,n/a,09/20/2010 12:00:00 AM,09/20/2010 12:00:00 AM
Hawaii,Mt View,4,6,,DSL 11M x 2,n/a,07/06/2010 12:00:00 AM,07/14/2010 12:00:00 AM
Hawaii,Naalehu,2,2,,EoC 3M,n/a,09/17/2010 12:00:00 AM,09/17/2010 12:00:00 AM
Hawaii,North Kohala,4,7,,PL T1,25M,10/12/2010 12:00:00 AM,10/12/2010 12:00:00 AM
Hawaii,Pahala,3,6,,EoC 3M,n/a,09/16/2010 12:00:00 AM,09/16/2010 12:00:00 AM
Hawaii,Pahoa,6,7,,EoC 3M,n/a,07/26/2010 12:00:00 AM,09/08/2010 12:00:00 AM
Hawaii,Thelma Parker,7,7,,DSL 11M,25M,07/12/2010 12:00:00 AM,07/12/2010 12:00:00 AM
